id,name,album_name,artists,year,genre,popularity,mood,language,mood_distance
2FDRIrru1m3KhHxnxaaCIk,"#41 - Live at Luther College, Decorah, IA - February 1996",Live At Luther College,"[""Dave Matthews"", ""Tim Reynolds""]",1999,Rock,40,Sad,english,4.078015686890357
6eXOkehz24rtEmO3ugqzGx,#5,Rebel Within,"[""Hank Williams III""]",2010,Country,18,Sad,english,1.6024299896554255
1PvvGV08vgTQIW8qhiHAtN,#Addicted,"Love, Fear and the Time Machine","[""Riverside""]",2015,Rock,32,Sad,english,2.152388493338307
0ucrULHU1Q0qsTHjEU9J0x,#Armageddon - Live,Live at the Crescent Ballroom,"[""AJJ""]",2013,Folk,0,Sad,english,5.474343663816716
1ITbH2Hm9gmVP02mD2S86X,#SINGItForJapan - Single Version,#SINGItForJapan,"[""My Chemical Romance""]",2011,Rock,31,Sad,english,1.8819526715003847
6kCP4XiMpWOdBcw010cDdp,#WCW,The Living Weirdo_o,"[""Devvon Terrell"", ""Cristion D'or""]",2014,Electronic,0,Sad,english,4.19775496602921
5Fo4UuaiJqHmu3X6ETvp66,#WHERESTHELOVE - Charity Single,#WHERESTHELOVE,"[""Black Eyed Peas"", ""The World""]",2016,Hip-Hop,0,Sad,english,1.7466367617172398
6OIq2e2RktWjiYi6xNZHqF,#deep,what.,"[""Bo Burnham""]",2013,Pop,0,Sad,english,5.798582360651118
5os3Uh9VPapqiWGGi8zHnv,#happy,#happy,"[""ero808""]",2021,Electronic,0,Sad,english,1.737360868030972
1hboZZxKIEjLHRIkhx4Soi,#miles,#miles,"[""skaiwater""]",2022,Electronic,56,Sad,english,1.7995739197151517
1D1laQvjRLunEs8XDO9sag,#with_you,#with_you,"[""D'avant""]",2018,Pop,21,Sad,english,2.318340767174344
2BQKzfHPNciPG3RWD47InF,$$$,Tamale,"[""Daniela Andrade""]",2019,R&B,28,Sad,english,1.8532097159325445
