id,name,album_name,artists,year,genre,popularity,mood,language,mood_distance
5jqwoLoB78kro93sKj77ch,Bubbles In My Beer,24 Greatest Hits,"[""Bob Wills""]",1977,Country,34,Calm,english,3.708700129613261
6F5gbWbr4X9vGM2Bv2po5e,Bug Bear - Original,I Dream In Autoplay,"[""Climber""]",2007,Electronic,0,Calm,english,3.0015765258450884
3RZGo0Ccqxrv27cMJuF0XI,Build a Castle (Reinterpretation),Far Cry 5 Presents: We Will Rise Again (Original Game Soundtrack),"[""Hammock""]",2018,Electronic,32,Calm,english,2.0887193070153254
4OzU8wQC7j5gSNknJDpI30,Built Then Burnt [Hurrah! Hurrah!],Born Into Trouble As The Sparks Fly Upward,"[""Silver Mt. Zion""]",2001,Rock,25,Calm,english,3.237137323286518
5XuU9htN358NTMCcqRvfDV,Bullet Proof ... I Wish I Was,The Bends,"[""Radiohead""]",1995,Rock,66,Calm,english,1.7214363687177845
1bV4e4r8bcKNP3KSLNEG1S,Bullet Proof.. I Wish I Was,Supermoon,"[""S. Carey""]",2015,Folk,0,Calm,english,2.2705049374266197
7vMOUHxFN7YmaADCTJKvPk,Bulletproof Love - Van Rivers & The Subliminal Kid Remix,Splitting The Atom,"[""Massive Attack""]",2009,Electronic,17,Calm,english,4.168479696705613
7cNWptOrSZ5G2XjFMmbXjx,Bundles,A Bundled Bundle of Bundles,"[""Mariee Sioux""]",2006,Electronic,3,Calm,english,2.089669933996717
7lqVmd3J3niSSM4EuWXkwa,Burial Society,The Unnatural World,"[""Have A Nice Life""]",2014,Rock,41,Calm,english,2.7594579516738715
7nhzdzkOnlAwsZhA1ZqN80,Buried in Your Past,The Enigma VIII (What Once It Was),"[""Shinnobu""]",2019,Classical,0,Calm,english,1.5882382518757632
0OEZnaMY80TtbWp3OqjgH2,Burn (Garage Band Demo),Into The Darkness (EP & Demos),"[""Samantha Scarlette""]",2011,Rock,0,Calm,english,3.424503783672672
6DoDoVOTsUxbIdzTWq3B8s,Burna Boy Interlude,Featuring Ty Dolla $ign,"[""Ty Dolla $ign""]",2020,Hip-Hop,25,Calm,english,2.865474651159018
